SITE_NUMBER,LATITUDE,LONGITUDE,ANPP,MANAGEMENT,ANNUAL_TEMPERATURE
1,39.25,-121.28,217.8,N,15.0
2,39.25,-121.28,200.70000000000002,N,15.0
3,39.25,-121.28,164.70000000000002,N,15.0
4,-10.17,31.18,,N,20.3
5,51.11,3.85,615.0,M,11.5
6,-3.73,-70.4,1013.3399999999999,N,25.5
7,-3.72,-70.3,1034.45,N,25.5
8,44.2334,-122.1731,694.514,N,7.69
9,44.2477,-122.1974,840.008,M,7.69
10,48.2,7.18,376.752,M,5.4
11,48.2,7.18,391.031,M,5.4
12,54.1,10.23,609.7355000000001,N,8.59
13,54.1,10.23,613.4420000000001,M,8.59
14,51.31,4.52,1473.53,M,11.0
15,51.31,4.52,488.81,M,11.0
16,-4.12,-79.18,144.0,N,9.4
17,45.05,-123.97,583.0440000000001,N,10.1
18,45.05,-123.97,658.225,M,10.1
19,45.0679,-123.8882,398.6279999999998,N,10.59
20,45.0894,-123.8807,614.762,M,10.59
21,-1.7197,-51.459,695.6,N,26.9
22,-1.72,-51.45,925.32,M,27.2
23,19.5,-105.05,332.572,N,24.9
24,35.8,-76.67,1165.031,M,14.9
25,-15.44272222,167.1919444,1423.96,M,25.1
26,41.84936,13.58814,404.151,M,7.3
27,52.95,-7.25,,M,9.3
28,35.9782,-79.0942,832.0401083749999,M,14.8
29,64.11278,19.45694,300.56,M,3.4
30,55.96,12.25,455.1819999999999,M,7.5
31,51.07917,10.453,415.9019999999999,N,8.37
32,42.5378,-72.1715,297.16,N,12.7
33,48.67416,7.06556,635.412,M,11.07
34,-2.60909722,-60.20929722,786.03,N,27.1
35,60.82,16.5,306.154,M,5.3
36,50.55,13.46,638.534,N,5.9
37,44.2917,-121.3333,70.023,N,9.1
38,56.48,8.4,622.918,M,7.5
39,47.478,8.36533,651.0,M,7.4
40,34.8,-79.2,840.0,M,16.32
41,52.17,5.74,567.612,M,10.17
42,44.4982,-121.6249,258.97199999999987,N,8.7
43,44.4634,-121.6634,502.96399999999994,M,8.7
44,41.75,14.88,591.9609999999998,N,8.3
45,39.3232,-86.4131,555.0,M,11.1
46,50.58,13.25,534.291,M,5.9
47,35.142633,-111.727325,117.0,M,9.3
48,35.089028,-111.762036,115.0,N,8.95
49,2.98,102.3,1304.363,N,24.8
50,19.83,-155.12,1390.0,M,20.3
51,-35.35,148.93,677.3629999999999,M,13.5
52,-35.35,148.93,1450.1659999999997,M,13.5
53,-4.12,-78.97,556.4800000000001,N,19.4
54,-4.11,-78.97,476.84,N,17.5
55,42.36,11.8,1210.0,M,17.4
56,42.36,11.8,1191.0,M,17.4
57,42.36,11.8,1560.5,M,17.4
58,53.629,-106.2,370.01800000000003,N,0.5
59,53.987,-105.117,154.778,N,1.0
60,53.916,-104.69,128.656,N,1.0
61,-3.98,-79.1,462.0,N,15.7
62,-3.99,-79.1,195.0,N,13.2
63,1.93,-67.05,855.635,N,25.9
64,-13.0489,-71.5369,582.366,N,18.8
65,44.4222,-121.8389,287.7399999999999,N,6.0
66,53.876,-104.645,213.2,N,0.4
67,50.06,11.83,416.6940000000001,N,5.5
68,44.675,-122.6111,980.6949999999999,N,10.6
69,56.55,13.21,631.4820000000001,M,7.6
70,51.75813,9.59333,590.5829999999999,M,6.1
71,55.48587,11.64464,836.7079999999999,M,8.54
72,36.1462,137.4231,423.80375,M,6.5
73,36.13,137.37,630.0,M,10.6
74,-12.8364,-69.2792,1140.57,N,26.4
75,-12.83,-69.2711,974.48,N,26.4
76,-2.85666667,-54.95888889,1386.97,N,25.9
77,-3.01802927,-54.97143509,677.05,N,25.9
78,50.96361,13.56694,429.46099999999996,M,8.93
79,55.88,-98.33,347.3445,N,0.8
80,55.9,-98.47,368.998,N,-1.6
81,55.9,-98.47,136.85399999999998,N,-1.6
82,55.9,-98.47,127.996,N,-1.6
83,55.88,-98.33,504.8479999999999,N,0.8
84,-12.9592,-71.5658,514.1990000000001,N,20.7
85,-13.1094,-71.5997,276.673,N,11.8
86,-13.1083,-71.5892,425.628,N,13.5
87,-13.073333333333332,-71.55833333333334,303.057,N,17.4
88,-13.071111111111112,-71.55499999999999,313.788,N,18.0
89,42.660936,-80.559519,309.0,M,8.825
90,42.709778,-80.3574,457.0,M,8.825
91,42.706811,-80.348314,391.0,N,8.825
92,42.774419,-80.458775,654.0,N,8.825
93,45.59,-84.71,261.0,M,5.5
94,45.5598,-84.7138,359.38399999999996,N,5.5
95,9.0,-63.0,,N,25.9
96,50.2,11.88,554.1329999999999,M,5.5
97,35.9588,-84.2874,564.125,N,13.8
98,44.6,-123.22,651.0459999999999,N,11.2
99,-13.19,-71.5869,383.93,N,12.5
100,50.4535,11.4575,571.518,M,5.5
101,45.8059,-90.0799,319.14,M,4.8
102,45.8205,-121.9519,480.2779999999998,N,8.12
103,51.46,-1.32,421.772,N,10.1
104,21.9275,101.2653,791.84,N,21.7
105,-4.0,-69.9,599.56,N,25.5
106,34.8,-79.2,357.0,M,16.32
107,22.57,112.83,687.1929,M,21.7
108,22.57,112.83,2039.08962,M,21.7
109,10.43,-83.98,1213.7948,M,25.8
110,10.43,-83.98,1220.6595,N,25.8
111,10.43,-83.98,1571.15138,N,25.8
112,10.43,-83.98,991.47846,N,25.8
113,10.43,-83.98,1300.84174,N,25.8
114,-16.0158,-62.7301,1130.52,N,23.4
115,-16.0158,-62.7301,810.68,N,23.4
116,-13.047,-71.542,670.16,N,17.4
117,-13.19,-71.597,536.0,N,13.1
118,26.1917,117.4333,763.9375273399389,N,19.1
119,26.1917,117.4333,1016.0037503403697,M,19.1
120,-1.493,120.057,697.2,N,20.8
121,-1.493,120.057,876.2,M,24.4
122,-13.0765,-52.3858,866.84,N,25.0
123,-3.95,-73.43,1183.309,N,25.2
124,-3.95,-73.43,1094.72,N,25.2
125,-1.72,-51.5,760.0,N,26.9
126,-23.03,-48.63,1385.6185,M,19.0
127,22.08,-159.53,592.136287,N,16.0
128,19.94,-155.34,545.31303,N,16.0
129,19.41,-155.22,449.143059,N,16.0
130,19.41,-155.22,516.26646,M,16.0
131,45.05,142.1,514.0,N,5.8
132,60.3,7.68,335.0,N,-3.0
133,49.693,-74.432,197.0,N,0.0
134,57.13,14.75,451.8,M,5.5
135,61.0,16.22,262.9,M,3.4
136,64.12,19.45,273.8,M,1.2
137,64.75,-148.25,90.5,N,-3.5
138,64.75,-148.25,93.0,N,-3.5
139,64.75,-148.25,61.5,N,-3.5
140,30.13,-79.86,652.32,N,15.6
141,30.13,-79.86,638.925,N,15.6
142,30.13,-79.86,821.005,N,15.6
143,25.56,91.87,805.0,N,16.8
144,39.45,-120.62,463.71,N,12.0
145,39.45,-120.62,363.506,M,12.0
146,30.08,79.75,665.0,N,10.864657534246573
147,30.48,80.25,547.0,N,-7.480821917808219
148,30.48,80.25,320.5,N,-7.480821917808219
149,48.6472,19.6033,1020.9159999999999,N,5.2
150,48.6472,19.6033,861.1015,N,5.2
151,46.35,11.27,816.0,M,11.6
152,35.45,138.77,541.906,N,9.7
153,52.75,10.5,558.5115,N,8.0
154,8.75,-82.25,732.67072,N,20.0
155,35.3,135.72,449.1187,N,10.5
156,35.3,135.72,307.6399,N,10.5
157,37.4606,-83.1586,933.648,N,13.0
158,37.4606,-83.1586,924.721,N,13.0
159,38.89525,-120.63275,,M,11.5
160,-2.5894,-60.1153,,N,23.0
161,60.09,17.48,,M,6.0
162,-4.73,12.02,524.125,M,25.7
163,-4.73,12.02,594.48,M,25.7
164,-4.73,12.02,752.3549999999999,M,25.7
165,-23.03,-48.63,686.765,M,19.0
166,-23.03,-48.63,763.43,M,19.0
